epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.5513,0,55.5641,0,0,0,0,0,0,92.5627,0,0.00036,0.00036,0.00036
2,66.9248,0,47.8456,0,0,0,0,0,0,83.9751,0,0.000725348,0.000725348,0.000725348
3,105.997,0,40.4234,0,0,0,0,0,0,60.6971,0,0.00107565,0.00107565,0.00107565
4,142.923,0,36.9122,0,0,0,0,0,0,51.6026,0,0.0014109,0.0014109,0.0014109
5,185.71,0,33.9755,0,0,0,0,0,0,1879.1,0,0.0017311,0.0017311,0.0017311
6,227.062,0,31.4978,0,0,0,0,0,0,41.3341,0,0.001802,0.001802,0.001802
7,287.127,0,29.3492,0,0,0,0,0,0,39.9795,0,0.0017624,0.0017624,0.0017624
8,436.843,0,27.4743,0,0,0,0,0,0,19.2704,0,0.0017228,0.0017228,0.0017228
9,485.037,0,25.7648,0,0,0,0,0,0,34.8254,0,0.0016832,0.0016832,0.0016832
10,525.994,0,23.861,0,0,0,0,0,0,32.0366,0,0.0016436,0.0016436,0.0016436
11,569.018,0,22.3695,0,0,0,0,0,0,32.7773,0,0.001604,0.001604,0.001604
12,612.897,0,21.0008,0,0,0,0,0,0,28.0568,0,0.0015644,0.0015644,0.0015644
13,656.903,0,19.7035,0,0,0,0,0,0,27.7099,0,0.0015248,0.0015248,0.0015248
14,702.129,0,18.5297,0,0,0,0,0,0,28.2578,0,0.0014852,0.0014852,0.0014852
15,745.804,0,17.4124,0,0,0,0,0,0,25.4154,0,0.0014456,0.0014456,0.0014456
16,789.18,0,16.2491,0,0,0,0,0,0,23.8238,0,0.001406,0.001406,0.001406
17,832.663,0,15.24,0,0,0,0,0,0,21.9168,0,0.0013664,0.0013664,0.0013664
18,876.293,0,14.2486,0,0,0,0,0,0,21.5912,0,0.0013268,0.0013268,0.0013268
19,919.136,0,13.336,0,0,0,0,0,0,20.7252,0,0.0012872,0.0012872,0.0012872
20,1139.63,0,12.5036,0,0,0,0,0,0,18.8938,0,0.0012476,0.0012476,0.0012476
21,1178.21,0,11.7622,0,0,0,0,0,0,16.5112,0,0.001208,0.001208,0.001208
22,1216.08,0,11.0952,0,0,0,0,0,0,16.6654,0,0.0011684,0.0011684,0.0011684
23,1254.84,0,10.4424,0,0,0,0,0,0,16.0169,0,0.0011288,0.0011288,0.0011288
24,1292.78,0,9.82056,0,0,0,0,0,0,15.4177,0,0.0010892,0.0010892,0.0010892
25,1339.93,0,9.25876,0,0,0,0,0,0,14.8304,0,0.0010496,0.0010496,0.0010496
26,1387.61,0,8.70338,0,0,0,0,0,0,14.1927,0,0.00101,0.00101,0.00101
27,1429.77,0,8.22898,0,0,0,0,0,0,13.5292,0,0.0009704,0.0009704,0.0009704
28,1477.68,0,7.7841,0,0,0,0,0,0,12.435,0,0.0009308,0.0009308,0.0009308
29,1559.52,0,7.3689,0,0,0,0,0,0,11.5514,0,0.0008912,0.0008912,0.0008912
30,1680.44,0,6.98845,0,0,0,0,0,0,10.9458,0,0.0008516,0.0008516,0.0008516
31,1744.92,0,6.65679,0,0,0,0,0,0,10.3404,0,0.000812,0.000812,0.000812
32,1819.66,0,6.33146,0,0,0,0,0,0,9.92222,0,0.0007724,0.0007724,0.0007724
33,1867.92,0,6.04843,0,0,0,0,0,0,9.42977,0,0.0007328,0.0007328,0.0007328
34,1911.36,0,5.77507,0,0,0,0,0,0,9.09073,0,0.0006932,0.0006932,0.0006932
35,1996.72,0,5.5424,0,0,0,0,0,0,8.87029,0,0.0006536,0.0006536,0.0006536
36,2036.36,0,5.32708,0,0,0,0,0,0,8.4453,0,0.000614,0.000614,0.000614
37,2080.33,0,5.1163,0,0,0,0,0,0,8.2269,0,0.0005744,0.0005744,0.0005744
38,2137.05,0,4.93434,0,0,0,0,0,0,8.03121,0,0.0005348,0.0005348,0.0005348
39,2177.37,0,4.76729,0,0,0,0,0,0,7.57263,0,0.0004952,0.0004952,0.0004952
40,2216.88,0,4.61806,0,0,0,0,0,0,7.36246,0,0.0004556,0.0004556,0.0004556
41,2257.11,0,4.49463,0,0,0,0,0,0,7.07936,0,0.000416,0.000416,0.000416
42,2297.84,0,4.37016,0,0,0,0,0,0,6.93117,0,0.0003764,0.0003764,0.0003764
43,2340.14,0,4.27307,0,0,0,0,0,0,6.82033,0,0.0003368,0.0003368,0.0003368
44,2387.22,0,4.18582,0,0,0,0,0,0,6.6622,0,0.0002972,0.0002972,0.0002972
45,2427.49,0,4.1078,0,0,0,0,0,0,6.60286,0,0.0002576,0.0002576,0.0002576
46,2467.21,0,4.04456,0,0,0,0,0,0,6.53527,0,0.000218,0.000218,0.000218
47,2506.88,0,3.99185,0,0,0,0,0,0,6.46205,0,0.0001784,0.0001784,0.0001784
48,2546.18,0,3.94775,0,0,0,0,0,0,6.4204,0,0.0001388,0.0001388,0.0001388
49,2585.49,0,3.91809,0,0,0,0,0,0,6.37356,0,9.92e-05,9.92e-05,9.92e-05
50,2632.86,0,3.89356,0,0,0,0,0,0,6.33463,0,5.96e-05,5.96e-05,5.96e-05
